iter	Passed	Remaining
0	0	769
1	1	770
2	2	743
3	2	725
4	3	715
5	4	712
6	5	712
7	5	713
8	6	716
9	7	714
10	7	713
11	8	710
12	9	716
13	10	717
14	10	711
15	11	705
16	12	703
17	12	708
18	13	706
19	14	707
20	15	706
21	15	704
22	16	702
23	17	702
24	17	700
25	18	695
26	19	693
27	19	690
28	20	688
29	21	690
30	22	688
31	22	687
32	23	688
33	24	685
34	24	684
35	25	682
36	26	679
37	26	679
38	27	677
39	28	679
40	29	679
41	29	678
42	30	678
43	31	677
44	31	675
45	32	673
46	33	672
47	33	672
48	34	672
49	35	671
50	36	670
51	36	668
52	37	667
53	37	665
54	38	664
55	39	663
56	40	662
57	40	661
58	41	660
59	42	660
60	42	659
61	43	659
62	44	659
63	44	657
64	45	657
65	46	656
66	47	656
67	47	657
68	48	656
69	49	655
70	50	654
71	50	654
72	51	655
73	52	654
74	52	653
75	53	652
76	54	653
77	55	653
78	56	653
79	56	653
80	57	652
81	58	652
82	58	648
83	59	647
84	60	648
85	60	647
86	61	646
87	62	646
88	63	645
89	63	644
90	64	643
91	65	643
92	65	642
93	66	642
94	67	641
95	68	640
96	68	639
97	69	638
98	70	639
99	70	638
100	71	637
101	72	636
102	72	634
103	73	632
104	73	630
105	74	628
106	75	626
107	75	624
108	76	622
109	76	620
110	77	618
111	77	616
112	78	614
113	78	613
114	79	611
115	79	609
116	80	606
117	80	604
118	81	603
119	82	601
120	82	599
121	82	597
122	83	595
123	84	593
124	84	591
125	85	590
126	85	588
127	86	586
128	86	585
129	87	583
130	87	581
131	88	580
132	88	578
133	89	577
134	89	575
135	90	574
136	90	572
137	91	571
138	92	569
139	92	568
140	93	567
141	93	564
142	93	563
143	94	561
144	95	560
145	95	559
146	96	557
147	96	556
148	97	555
149	97	553
150	98	552
151	98	551
152	99	549
153	99	548
154	100	547
155	101	548
156	102	547
157	102	546
158	103	545
159	103	543
160	103	541
161	104	540
162	104	539
163	105	537
164	106	536
165	106	535
166	107	534
167	107	533
168	108	532
169	108	530
170	109	529
171	109	528
172	110	527
173	110	526
174	111	525
175	111	523
176	112	522
177	113	522
178	113	521
179	114	521
180	115	520
181	115	519
182	116	519
183	116	518
184	117	517
185	118	516
186	118	515
187	119	515
188	119	514
189	120	513
190	121	512
191	121	512
192	122	511
193	122	510
194	123	510
195	124	510
196	125	509
197	125	508
198	126	507
199	126	506
200	127	506
201	128	506
202	128	505
203	129	504
204	129	503
205	130	502
206	131	502
207	131	502
208	132	501
209	133	500
210	133	499
211	134	499
212	134	498
213	135	497
214	136	496
215	136	496
216	137	495
217	137	494
218	138	493
219	138	492
220	139	492
221	140	491
222	140	490
223	141	489
224	141	488
225	142	487
226	143	487
227	143	486
228	144	485
229	144	485
230	145	484
231	146	484
232	146	483
233	147	483
234	148	482
235	148	482
236	149	481
237	150	481
238	150	480
239	151	479
240	152	478
241	152	477
242	153	477
243	153	476
244	154	475
245	154	474
246	155	474
247	156	473
248	156	472
249	157	471
250	157	470
251	158	469
252	158	468
253	159	467
254	159	466
255	160	466
256	160	465
257	161	464
258	161	463
259	162	462
260	163	461
261	163	460
262	164	460
263	164	459
264	165	458
265	165	457
266	166	456
267	166	455
268	167	454
269	167	454
270	168	453
271	169	453
272	170	452
273	170	452
274	171	451
275	171	450
276	172	449
277	172	448
278	173	448
279	173	447
280	174	446
281	174	445
282	175	444
283	175	443
284	176	442
285	177	441
286	177	441
287	178	440
288	178	439
289	179	438
290	179	437
291	180	437
292	180	436
293	181	435
294	181	434
295	182	433
296	182	432
297	183	432
298	183	431
299	184	430
300	185	429
301	185	428
302	186	428
303	186	427
304	187	426
305	187	425
306	188	424
307	188	424
308	189	423
309	189	422
310	190	421
311	190	421
312	191	420
313	192	419
314	192	418
315	193	417
316	193	417
317	194	416
318	194	415
319	195	414
320	195	413
321	196	413
322	196	412
323	197	411
324	197	410
325	198	410
326	198	409
327	199	409
328	200	408
329	200	407
330	201	407
331	202	406
332	202	405
333	203	404
334	203	404
335	204	403
336	204	402
337	205	402
338	205	401
339	206	400
340	206	399
341	207	399
342	208	398
343	208	397
344	209	397
345	209	396
346	210	395
347	210	395
348	211	394
349	212	394
350	212	393
351	213	392
352	213	391
353	214	391
354	215	391
355	215	390
356	216	389
357	217	389
358	217	388
359	218	388
360	218	387
361	219	387
362	220	386
363	220	385
364	221	385
365	221	384
366	222	383
367	223	383
368	223	382
369	224	381
370	224	381
371	225	380
372	225	379
373	226	379
374	227	378
375	227	377
376	228	377
377	228	376
378	229	375
379	230	375
380	230	375
381	231	374
382	232	373
383	232	373
384	233	372
385	233	372
386	234	371
387	235	370
388	235	370
389	236	369
390	236	368
391	237	368
392	237	367
393	238	366
394	239	366
395	239	365
396	240	364
397	240	364
398	241	363
399	242	363
400	242	362
401	243	361
402	243	361
403	244	360
404	245	360
405	245	359
406	246	358
407	246	357
408	247	357
409	247	356
410	248	355
411	248	355
412	249	354
413	249	353
414	250	353
415	250	352
416	251	351
417	251	350
418	252	350
419	252	349
420	253	348
421	254	347
422	254	347
423	255	346
424	255	345
425	256	345
426	256	344
427	257	343
428	257	343
429	258	342
430	258	341
431	259	340
432	259	340
433	260	339
434	260	338
435	261	338
436	261	337
437	262	336
438	262	335
439	263	335
440	263	334
441	264	334
442	265	333
443	265	332
444	266	332
445	266	331
446	267	330
447	267	330
448	268	329
449	269	328
450	269	328
451	270	327
452	270	327
453	271	326
454	272	326
455	272	325
456	273	324
457	274	324
458	274	323
459	275	323
460	275	322
461	276	322
462	277	321
463	277	320
464	278	320
465	278	319
466	279	318
467	279	318
468	280	317
469	281	316
470	281	316
471	282	315
472	282	314
473	283	314
474	283	313
475	284	313
476	284	312
477	285	311
478	285	311
479	286	310
480	287	309
481	287	309
482	288	308
483	288	307
484	289	307
485	289	306
486	290	305
487	291	305
488	291	304
489	292	304
490	292	303
491	293	302
492	293	302
493	294	301
494	294	300
495	295	300
496	296	299
497	296	299
498	297	298
499	297	297
500	298	297
501	299	296
502	299	295
503	300	295
504	300	294
505	301	294
506	301	293
507	302	292
508	302	292
509	303	291
510	303	290
511	304	290
512	304	289
513	305	288
514	305	288
515	306	287
516	306	286
517	307	285
518	307	285
519	308	284
520	308	283
521	309	283
522	309	282
523	310	282
524	311	281
525	311	280
526	312	280
527	312	279
528	313	278
529	313	278
530	314	277
531	314	276
532	315	276
533	315	275
534	316	274
535	316	274
536	317	273
537	317	272
538	318	272
539	318	271
540	319	271
541	319	270
542	320	269
543	321	269
544	321	268
545	322	267
546	322	267
547	323	266
548	323	265
549	324	265
550	324	264
551	325	263
552	325	263
553	326	262
554	326	262
555	327	261
556	327	260
557	328	260
558	328	259
559	329	258
560	329	258
561	330	257
562	331	256
563	331	256
564	332	255
565	332	255
566	333	254
567	333	253
568	334	253
569	334	252
570	335	251
571	335	251
572	336	250
573	336	249
574	337	249
575	337	248
576	338	248
577	338	247
578	339	246
579	340	246
580	340	245
581	341	245
582	341	244
